v1,v2,fitness,p1
1.3,5.0,547.3654863319911,547.3654863319911
0.5,5.0,10.152735303968269,10.152735303968269
1.8,3.7,637.5192585713153,637.5192585713153
1.6,3.0,516.8303349970764,516.8303349970764
2.5,3.8,1487.9176097396835,1487.9176097396835
2.5,5.0,1663.3509934876813,1663.3509934876813
0.5,2.4,18.576614681363793,18.576614681363793
2.5,2.6,1244.8668376763014,1244.8668376763014
2.2,4.5,1072.5774458898422,1072.5774458898422
0.8,3.1,65.5211917944713,65.5211917944713
1.4,5.0,341.3320282921934,341.3320282921934
2.5,2.9,1320.1526668684062,1320.1526668684062
2.5,4.6,1520.6344174012165,1520.6344174012165
2.4,4.3,1268.7861606717263,1268.7861606717263
2.5,4.5,1382.378045925155,1382.378045925155
2.5,3.1,1312.2963796591312,1312.2963796591312
0.8,5.0,224.65956035738796,224.65956035738796
0.6,5.0,15.170385094964448,15.170385094964448
2.1,5.0,1043.1546489147145,1043.1546489147145
2.2,5.0,1393.4537567039233,1393.4537567039233
2.5,4.3,1383.7849369874557,1383.7849369874557
2.5,0.5,1157.2496134730227,1157.2496134730227
2.5,2.2,1215.6108930475443,1215.6108930475443
